category,subcategory,revenue,profit,avg_discount,order_count,margin_pct
Furniture,Bookcases,114880.05,-3472.56,0.211140350877193,228,-3.02
Furniture,Chairs,328449.13,26590.15,0.17017828200972449,617,8.1
Furniture,Furnishings,91705.12,13059.25,0.13834900731452457,957,14.24
Furniture,Tables,206965.68,-17725.59,0.2612852664576803,319,-8.56
Office Supplies,Appliances,107532.14,18138.07,0.1665236051502146,466,16.87
Office Supplies,Art,27118.8,6527.96,0.07487437185929649,796,24.07
Office Supplies,Binders,203412.77,30221.64,0.3722915298752462,1523,14.86
Office Supplies,Envelopes,16476.38,6964.1,0.08031496062992127,254,42.27
Office Supplies,Fasteners,3024.25,949.53,0.08202764976958525,217,31.4
Office Supplies,Labels,12486.3,5546.18,0.06868131868131869,364,44.42
Office Supplies,Paper,78479.24,34053.34,0.07489051094890511,1370,43.39
Office Supplies,Storage,223843.59,21279.05,0.07470449172576832,846,9.51
Office Supplies,Supplies,46673.52,-1188.9899999999998,0.0768421052631579,190,-2.55
Technology,Accessories,167380.31,41936.78,0.07845161290322582,775,25.05
Technology,Copiers,149528.01,55617.9,0.16176470588235295,68,37.2
Technology,Machines,189238.68,3384.730000000001,0.3060869565217391,115,1.79
Technology,Phones,330007.1,44516.25,0.15455568053993252,889,13.49
